latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-31.78242,148.85973,351.38,0.47,0.48,2026-04-09,428,N,VIIRS,n,2,308.16,11.75,D,0
-31.78139,148.88576,320.3,0.48,0.48,2026-04-09,428,N,VIIRS,l,2,323.71,232.76,D,0
-31.78134,148.86465,346.55,0.47,0.48,2026-04-09,428,N,VIIRS,n,2,308.04,67.21,D,0
-31.7803,148.8907,367,0.48,0.48,2026-04-09,428,N,VIIRS,l,2,355.87,232.76,D,0
-31.78026,148.86958,334.3,0.47,0.48,2026-04-09,428,N,VIIRS,n,2,307.64,67.21,D,0
-31.77922,148.89563,367,0.48,0.48,2026-04-09,428,N,VIIRS,h,2,348.45,214.24,D,0
-31.77809,148.87949,344.35,0.48,0.48,2026-04-09,428,N,VIIRS,n,2,308.43,74.07,D,0
-31.777,148.88445,367,0.48,0.48,2026-04-09,428,N,VIIRS,h,2,332.04,232.76,D,0
-31.77483,148.89435,350.92,0.48,0.48,2026-04-09,428,N,VIIRS,n,2,307.03,214.24,D,0
-31.7726,148.88322,332.72,0.48,0.48,2026-04-09,428,N,VIIRS,n,2,307.45,4.89,D,0
-31.55615,152.05022,339.17,0.36,0.57,2026-04-09,428,N,VIIRS,n,2,295.34,1.89,D,0
-31.55258,152.05096,347.64,0.36,0.57,2026-04-09,428,N,VIIRS,n,2,296.23,3.3,D,0
-32.2062,145.57617,338.99,0.48,0.4,2026-04-09,429,N,VIIRS,n,2,308.6,4.35,D,0
-32.19883,145.57426,339.38,0.48,0.4,2026-04-09,429,N,VIIRS,n,2,309.44,10.15,D,0
-32.19419,145.5784,367,0.48,0.4,2026-04-09,429,N,VIIRS,h,2,312.87,21.93,D,0
-32.19324,145.5835,356.54,0.48,0.4,2026-04-09,429,N,VIIRS,n,2,312.7,21.93,D,0
